ClassName,LCOM
AbstractAnnotation: LCOM[0.55]
JSONStreamAware: LCOM[0]
JSONValue: LCOM[0]
JSONUtils: LCOM[0]
KeyedObject: LCOM[0.5555555555555556]
KeyedObjects: LCOM[0.6333333333333333]
KeyedObjects2D: LCOM[0.6190476190476191]
KeyedValue: LCOM[0]
KeyedValueComparator: LCOM[0.33333333333333337]
KeyedValues: LCOM[0]
KeyedValues2D: LCOM[0]
KeyedValues2DItemKey: LCOM[0.2857142857142857]
KeyedValuesItemKey: LCOM[0.0]
KeyToGroupMap: LCOM[0.5909090909090908]
Range: LCOM[0.6666666666666667]
RangeInfo: LCOM[0]
DataPackageResources: LCOM[1.0]
DataPackageResources_de: LCOM[1.0]
DataPackageResources_es: LCOM[1.0]
DataPackageResources_fr: LCOM[1.0]
DataPackageResources_pl: LCOM[1.0]
DataPackageResources_ru: LCOM[1.0]
BoxAndWhiskerCalculator: LCOM[0]
BoxAndWhiskerCategoryDataset: LCOM[0]
BoxAndWhiskerItem: LCOM[0.7416666666666667]
BoxAndWhiskerXYDataset: LCOM[0]
DefaultBoxAndWhiskerCategoryDataset: LCOM[0.8084415584415584]
DefaultBoxAndWhiskerXYDataset: LCOM[0.8425925925925926]
DefaultMultiValueCategoryDataset: LCOM[0.7105263157894737]
DefaultStatisticalCategoryDataset: LCOM[0.8328912466843501]
HistogramBin: LCOM[0.625]
HistogramDataset: LCOM[0.7777777777777778]
MeanAndStandardDeviation: LCOM[0.5238095238095238]
MultiValueCategoryDataset: LCOM[0]
Regression: LCOM[0]
SimpleHistogramBin: LCOM[0.6]
SimpleHistogramDataset: LCOM[0.8148148148148149]
StatisticalCategoryDataset: LCOM[0]
Statistics: LCOM[0]
DateRange: LCOM[0.7333333333333334]
Day: LCOM[0.875]
DynamicTimeSeriesCollection: LCOM[0.916267942583732]
FixedMillisecond: LCOM[0.5357142857142857]
Hour: LCOM[0.7857142857142857]
Millisecond: LCOM[0.7777777777777778]
Minute: LCOM[0.765625]
Month: LCOM[0.7]
MovingAverage: LCOM[0]
OHLC: LCOM[0.5]
OHLCItem: LCOM[0]
OHLCSeries: LCOM[0]
OHLCSeriesCollection: LCOM[0.6481481481481481]
Quarter: LCOM[0.8125]
RegularTimePeriod: LCOM[0.8947368421052632]
Second: LCOM[0.7321428571428572]
SimpleTimePeriod: LCOM[0.7142857142857143]
TimePeriod: LCOM[0]
TimePeriodFormatException: LCOM[0]
TimePeriodValue: LCOM[0.6666666666666667]
TimePeriodValues: LCOM[0.8154761904761905]
TimePeriodValuesCollection: LCOM[0.7301587301587302]
TimeSeries: LCOM[0.8328840970350404]
TimeSeriesCollection: LCOM[0.7573529411764706]
TimeSeriesDataItem: LCOM[0.6666666666666667]
TimeSeriesTableModel: LCOM[0.75]
TimeTableXYDataset: LCOM[0.7583333333333333]
Week: LCOM[0.7969924812030076]
Year: LCOM[0.8214285714285714]
UnknownKeyException: LCOM[0]
Value: LCOM[0]
Values: LCOM[0]
Values2D: LCOM[0]
CategoryDatasetHandler: LCOM[0.25]
CategorySeriesHandler: LCOM[0.5]
DatasetReader: LCOM[0.6666666666666667]
DatasetTags: LCOM[0]
ItemHandler: LCOM[0.625]
KeyHandler: LCOM[0.6666666666666667]
PieDatasetHandler: LCOM[0.25]
RootHandler: LCOM[0.19999999999999996]
ValueHandler: LCOM[0.6]
AbstractIntervalXYDataset: LCOM[0]
AbstractXYDataset: LCOM[0]
AbstractXYZDataset: LCOM[0]
CategoryTableXYDataset: LCOM[0.5576923076923077]
DefaultHighLowDataset: LCOM[0.8650793650793651]
DefaultIntervalXYDataset: LCOM[0.5526315789473684]
DefaultOHLCDataset: LCOM[0.6578947368421053]
DefaultTableXYDataset: LCOM[0.7235294117647059]
DefaultWindDataset: LCOM[0.5555555555555556]
DefaultXYDataset: LCOM[0.4285714285714286]
DefaultXYZDataset: LCOM[0.4375]
IntervalXYDataset: LCOM[0]
IntervalXYDelegate: LCOM[0.7833333333333333]
IntervalXYZDataset: LCOM[0]
MatrixSeries: LCOM[0.75]
MatrixSeriesCollection: LCOM[0.5714285714285714]
NormalizedMatrixSeries: LCOM[0.6]
OHLCDataItem: LCOM[0.7857142857142857]
OHLCDataset: LCOM[0]
TableXYDataset: LCOM[0]
Vector: LCOM[0.16666666666666663]
VectorDataItem: LCOM[0]
